name	section	formIdRaw	e1	e2	e3	e4
Abecean Longfin	standard	00106e1b	Weakness to Frost	Fortify Sneak	Weakness to Poison	Fortify Restoration
Aloe Vera Leaves	standard	FExxx0D0	Restore Health	Restore Stamina	Damage Magicka	Invisibility
Ancestor Moth Wing	standard	xx0059ba	Damage Stamina	Fortify Conjuration	Damage Magicka Regen	Fortify Enchanting
Ash Creep Cluster	standard	xx01cd74	Damage Stamina	Invisibility	Resist Fire	Fortify Destruction
Ash Hopper Jelly	standard	xx01cd71	Restore Health	Fortify Light Armor	Resist Shock	Weakness to Frost
Ashen Grass Pod	standard	xx016e26	Resist Fire	Weakness to Shock	Fortify Lockpicking	Fortify Sneak
Bear Claws	standard	0006bc02	Restore Stamina	Fortify Health	Fortify One-handed	Damage Magicka Regen
Bee	standard	000a9195	Restore Stamina	Ravage Stamina	Regenerate Stamina	Weakness to Shock
Beehive Husk	standard	000a9191	Resist Poison	Fortify Light Armor	Fortify Sneak	Fortify Destruction
Bleeding Crown	standard	0004da20	Weakness to Fire	Fortify Block	Weakness to Poison	Resist Magic
Blisterwort	standard	0004da25	Damage Stamina	Frenzy	Restore Health	Fortify Smithing
Blue Butterfly Wing	standard	000727de	Damage Stamina	Fortify Conjuration	Damage Magicka Regen	Fortify Enchanting
Blue Dartwing	standard	000e4f0c	Resist Shock	Fortify Pickpocket	Restore Health	Fear
Blue Mountain Flower	standard	00077e1c	Restore Health	Fortify Conjuration	Fortify Health	Damage Magicka Regen
Boar Tusk	standard	xx01cd6f	Fortify Stamina	Fortify Health	Fortify Block	Frenzy
Bone Meal	standard	00034cdd	Damage Stamina	Resist Fire	Fortify Conjuration	Ravage Stamina
Briar Heart	standard	0003ad61	Restore Magicka	Fortify Block	Paralysis	Fortify Magicka
Burnt Spriggan Wood	standard	xx01cd6e	Weakness to Fire	Fortify Alteration	Damage Magicka Regen	Slow
Butterfly Wing	standard	000727e0	Restore Health	Fortify Barter	Lingering Damage Stamina	Damage Magicka
Canis Root	standard	0006abcb	Damage Stamina	Fortify One-handed	Fortify Marksman	Paralysis
Charred Skeever Hide	standard	00052695	Restore Stamina	Cure Disease	Resist Poison	Restore Health
Chaurus Eggs	standard	0003ad56	Weakness to Poison	Fortify Stamina	Damage Magicka	Invisibility
Chaurus Hunter Antennae	standard	xx0183b7	Damage Stamina	Fortify Conjuration	Damage Magicka Regen	Fortify Enchanting
Chicken's Egg	standard	00023d77	Resist Magic	Damage Magicka Regen	Waterbreathing	Lingering Damage Stamina
Creep Cluster	standard	000b2183	Restore Magicka	Damage Stamina Regen	Fortify Carry Weight	Weakness to Magic
Crimson Nirnroot	standard	000b701a	Damage Health	Damage Stamina	Invisibility	Resist Magic
Cyrodilic Spadetail	standard	00106e19	Damage Stamina	Fortify Restoration	Fear	Ravage Health
Daedra Heart	standard	0003ad5b	Restore Health	Damage Stamina Regen	Damage Magicka	Fear
Deathbell	standard	000516c8	Damage Health	Ravage Stamina	Slow	Weakness to Poison
Dragon's Tongue	standard	000889a2	Resist Fire	Fortify Barter	Fortify Illusion	Fortify Two-handed
Dwarven Oil	standard	000f11c0	Weakness to Magic	Fortify Illusion	Regenerate Magicka	Restore Magicka
Ectoplasm	standard	0003ad63	Restore Magicka	Fortify Destruction	Fortify Magicka	Damage Health
Elves Ear	standard	00034d31	Restore Magicka	Fortify Marksman	Weakness to Frost	Resist Fire
Emperor Parasol Moss	standard	xx01ff75	Damage Health	Fortify Magicka	Regenerate Health	Fortify Two-handed
Eye of Sabre Cat	standard	0006bc07	Restore Stamina	Ravage Health	Damage Magicka	Restore Health
Falmer Ear	standard	0003ad5d	Damage Health	Frenzy	Resist Poison	Fortify Lockpicking
Felsaad Tern Feathers	standard	xx03cd8e	Restore Health	Fortify Light Armor	Cure Disease	Resist Magic
Fire Salts	standard	0003ad5e	Weakness to Frost	Resist Fire	Restore Magicka	Regenerate Magicka
Fly Amanita	standard	0004da00	Resist Fire	Fortify Two-handed	Frenzy	Regenerate Stamina
Frost Mirriam	standard	00034d32	Resist Frost	Fortify Sneak	Ravage Magicka	Damage Stamina Regen
Frost Salts	standard	0003ad5f	Weakness to Fire	Resist Frost	Restore Magicka	Fortify Conjuration
Garlic	standard	00034d22	Resist Poison	Fortify Stamina	Regenerate Magicka	Regenerate Health
Giant Lichen	standard	0007e8c1	Weakness to Shock	Ravage Health	Weakness to Poison	Restore Magicka
Giant's Toe	standard	0003ad64	Damage Stamina	Fortify Health	Fortify Carry Weight	Damage Stamina Regen
Gleamblossom	standard	xx00b097	Resist Magic	Fear	Regenerate Health	Paralysis
Glow Dust	standard	0003ad73	Damage Magicka	Damage Magicka Regen	Fortify Destruction	Resist Shock
Glowing Mushroom	standard	0007ee01	Resist Shock	Fortify Destruction	Fortify Smithing	Fortify Health
Grass Pod	standard	00083e64	Resist Poison	Ravage Magicka	Fortify Alteration	Restore Magicka
Hagraven Claw	standard	0006b689	Resist Magic	Lingering Damage Magicka	Fortify Enchanting	Fortify Barter
Hagraven Feathers	standard	0003ad66	Damage Magicka	Fortify Conjuration	Frenzy	Weakness to Shock
Hanging Moss	standard	00057f91	Damage Magicka	Fortify Health	Damage Magicka Regen	Fortify One-handed
Hawk Beak	standard	000e7ebc	Restore Stamina	Resist Frost	Fortify Carry Weight	Resist Shock
